user_id,article_1,article_2,article_3,article_4,article_5
200162,62748,62599,61966,272143,62747
200163,331116,158664,292508,237822,292594
200164,234698,336221,95716,214474,235870
200165,257291,233717,70949,159762,70195
200166,336254,218028,157478,202355,158541
200167,336221,336223,234698,95716,271261
200168,78357,74719,74705,74722,78369
200169,235105,36162,277107,234308,234978
200170,245161,270607,96210,50504,158882
200171,168623,276970,124228,36394,156625
200172,272143,156624,158536,162655,156447
200173,272143,324823,156560,300755,64329
200174,272143,162655,64329,199198,321020
200175,156560,158536,160417,272143,156447
200176,57616,96244,96210,20691,157375
200177,272143,64329,198659,182394,162655
200178,161801,270799,63307,59057,214283
200179,96210,20691,183176,57616,277067
200180,304017,303686,304788,303819,199197
200181,283123,272143,285343,283933,284591
200182,277492,337192,336220,284602,289090
200183,161506,161801,63307,141004,235652
200184,156560,162655,158536,64329,156447
200185,4967,272143,3241,96077,338350
200186,159938,119534,277492,336220,215674
200187,199197,313431,271551,156560,284547
200188,285343,272143,286161,156624,284474
200189,331116,218028,214753,158541,202355
200190,50864,272143,156624,156560,166430
200191,39894,352979,336254,30389,331116
200192,39894,283009,352979,30389,331116
200193,199197,272143,284547,271551,156619
200194,156560,272143,160417,158536,64329
200195,235804,236444,236189,233934,236951
200196,272143,64329,198659,162655,182394
200197,336245,20691,285377,271262,337441
200198,362914,272387,273461,277107,274168
200199,212234,166322,331116,214258,285300
200200,234698,156964,336223,235870,289186
200201,336221,64409,42223,234698,157076
200202,133160,31836,288320,303180,214206
200203,293513,158882,270607,96210,50504
200204,331116,157478,289003,57966,97530
200205,352979,283009,352121,353633,351875
200206,96210,57616,159196,300234,157375
200207,331116,312905,315104,314578,313556
200208,331116,289003,57966,97530,166322
200209,123909,283392,236951,123757,124177
200210,207603,157478,206785,159652,289003
200211,271262,284773,336245,100917,236610
200212,123909,124350,124748,123289,124734
200213,58619,159275,209013,209348,202652
200214,157478,166322,331116,74780,162248
200215,336221,315105,300082,235870,95716
200216,58580,271262,284583,96210,236566
200217,272143,300128,300923,297906,300470
200218,136145,137437,331116,336254,289003
200219,331116,202355,218028,157815,158541
200220,283009,277107,352979,39894,331116
200221,272143,158536,156624,160417,162655
200222,183176,284339,181585,336220,354086
200223,208237,234269,208531,203199,235616
200224,235616,336221,31318,29953,32467
200225,272143,324823,199198,156560,348111
200226,5292,336220,354086,235854,70591
200227,336220,235854,289090,235616,277492
200228,331116,157478,57966,97530,289003
200229,335617,335452,288528,293513,57748
200230,336245,96210,20691,162139,288440
200231,162655,156560,272143,158536,156447
200232,272143,324823,156560,300755,64329
200233,352979,283009,331116,289003,30389
200234,58580,225010,236566,96210,283764
200235,277107,283009,50644,234481,156279
200236,39894,73506,283009,70429,277107
200237,235616,29953,129520,129513,336787
200238,42883,233478,160132,58606,276946
200239,156843,235854,284096,277492,336220
200240,162655,272143,160417,160974,160146
200241,272143,285648,129596,129694,129004
200242,123909,124748,283392,124177,284422
200243,124749,158906,156355,160940,140528
200244,257291,108855,286321,160131,284410
200245,331116,157478,289003,202381,207603
200246,96210,236610,194923,285377,271262
200247,272143,64329,198659,162655,182394
200248,199198,64329,198659,156560,156624
200249,161506,161801,270799,141004,214283
200250,270677,271236,270685,271528,273157
200251,272143,324823,199198,156560,156624
200252,331116,352979,157478,283009,166322
200253,211442,50644,30760,156279,277107
200254,277492,337192,235854,336220,354086
200255,236610,236566,20691,271262,336245
200256,336221,234698,300082,336220,235616
200257,352979,39894,30389,283009,336254
200258,331116,336254,202355,289003,57966
200259,236610,96210,336245,20691,271262
200260,272143,337873,156560,162655,336476
200261,234698,336221,235616,64409,156964
200262,272143,285343,285648,285298,156560
200263,236610,336245,271262,194289,284583
200264,283009,39894,277107,284063,285208
200265,272143,160417,158536,156447,156624
200266,234698,336221,157076,156964,235870
200267,336254,218028,202355,57966,289003
200268,168623,123909,276970,317775,319519
200269,272143,118753,162655,118464,16129
200270,156560,272143,158536,162655,156447
200271,20691,96210,336245,284583,96103
200272,336220,337192,277491,235854,288435
200273,272143,156560,64329,162655,158536
200274,160417,272143,160974,199198,158536
200275,234698,95716,315105,235870,271261
200276,202355,202559,331116,218028,214753
200277,351364,351875,331116,15863,14519
200278,206763,160748,331780,199474,70217
200279,235616,336221,234698,29953,235870
200280,277107,283009,39894,352979,331116
200281,336245,20691,288440,337441,233742
200282,324393,323926,325175,323781,336245
200283,283392,95977,123909,161425,236951
200284,59057,288320,133160,31836,336223
200285,336254,97530,331116,285849,57966
200286,331116,336254,157478,289003,97530
200287,181585,159938,119534,111043,289090
200288,156560,272143,160974,162655,156447
200289,271262,58580,96210,65991,236610
200290,206785,331116,277107,202381,202320
200291,199198,272143,64329,36161,2303
200292,234698,336221,214631,336223,95716
200293,336221,234698,95716,214474,277491
200294,42761,272143,42757,42551,42919
200295,234698,95716,315105,336223,300082
200296,355163,355155,225010,355169,271262
200297,48962,48605,48644,48064,48941
200298,218028,57966,289003,202355,97530
200299,183176,354086,202388,211926,277492
200300,272143,199198,199197,261476,13811
200301,96210,293513,50504,271262,156296
200302,183176,284339,181585,159938,119534
200303,331116,277107,111323,157478,289003
200304,235854,235616,234267,277492,277491
200305,293114,123826,293050,96755,338340
200306,313242,313619,313807,313355,323949
200307,50494,73506,156807,363916,70429
200308,272143,156624,182513,156560,64329
200309,202388,354086,336220,202534,277492
200310,156560,158536,160417,272143,50823
200311,336223,145853,288320,145706,214206
200312,225124,205052,206631,5387,208473
200313,331116,202355,215613,199372,214753
200314,162655,156560,272143,158536,64329
200315,277107,39894,283009,235105,331116
200316,58580,236566,96210,283764,313920
200317,336221,288321,95716,315105,235870
200318,106821,87232,237261,354824,87228
200319,343256,168564,97616,293513,288528
200320,96210,57616,58080,336245,237618
200321,272143,64329,198659,162655,182394
200322,300884,297959,271262,283764,96210
200323,336254,331116,97530,57966,285849
200324,162655,272143,156560,156447,64329
200325,272143,166583,166585,156560,224171
200326,270607,245161,96210,158882,50504
200327,289090,277492,235854,234267,235616
200328,96210,336245,32088,20691,288440
200329,156560,156624,64329,199198,198659
200330,198659,7694,156560,324823,64329
200331,331116,336254,289003,206785,157478
200332,277492,284096,337192,336220,235854
200333,336245,288548,316300,264033,96210
200334,336221,234269,208237,207848,235616
200335,351876,331116,351875,353053,352496
200336,234698,336221,95716,235870,277491
200337,156560,158536,272143,160417,156447
200338,234269,235616,207963,208237,208531
200339,293513,245041,158882,235114,57748
200340,313434,272143,69778,173406,30876
200341,293301,257291,156654,233717,166377
200342,83870,84710,272143,84789,84741
200343,277107,62446,331116,36162,362914
200344,141004,161506,63307,133160,31520
200345,50864,156624,272143,156560,348111
200346,354086,336220,237618,289090,337192
200347,156560,199197,272143,284547,235230
200348,336245,271262,285377,16087,57616
200349,277067,313920,271262,58580,236610
200350,277067,96210,283764,58580,75962
200351,57966,157478,97530,289003,331116
200352,336245,156296,57748,362322,96210
200353,158646,160132,214800,276946,233478
200354,156843,336220,289090,235854,284096
200355,39894,352979,283009,157478,331116
200356,96210,20691,284583,271262,58580
200357,272143,156560,96960,95743,96481
200358,277491,289090,235616,337192,235854
200359,336254,218028,202355,289003,199372
200360,50494,277107,283009,39894,352979
200361,348111,156624,272143,336476,284474
200362,183176,336220,235854,181585,277492
200363,272143,64329,199198,324823,166581
200364,161580,57748,158882,50504,162817
200365,293513,57748,270607,336934,70215
200366,156560,160417,272143,158536,156447
200367,202355,215613,199372,214753,315146
200368,36162,211442,209122,156279,70986
200369,96210,293513,285377,362272,16087
200370,234698,95716,235870,315105,300082
200371,199197,272143,156619,284547,158536
200372,336476,348111,156624,236065,233917
200373,272143,199197,313431,156619,284547
200374,183176,156843,119534,156839,70591
200375,331116,157478,199262,218028,289003
200376,234698,336221,300082,288321,292552
200377,199198,198659,64329,156560,156624
200378,284096,156843,277492,336220,235854
200379,237822,199474,208582,160748,208981
200380,119534,159938,277492,336220,215674
200381,235616,336221,32082,129520,234698
200382,336476,348111,156624,272143,284474
200383,336245,20691,96210,183176,96103
200384,277107,283009,39894,352979,336254
200385,245161,288528,270607,293514,57748
200386,336221,235616,234698,277491,156964
200387,336221,235616,234269,234698,95716
200388,293114,96755,123909,123826,124748
200389,162817,336245,156296,70215,50504
200390,16132,14868,272143,16197,16609
200391,50864,156560,272143,160417,158536
200392,272143,7694,273309,187067,198659
200393,336245,20691,337441,288440,233688
200394,39894,283009,352979,30389,331116
200395,284583,96210,236610,58580,313920
200396,289090,277492,337192,284096,235854
200397,156355,336380,108856,129434,158047
200398,354086,277492,307779,289090,119534
200399,272143,166583,166585,156560,224171
200400,272143,65373,65896,50823,338350
200401,336223,119193,161801,161506,225019
200402,123289,182256,58891,338340,283392
200403,235616,336221,336220,352902,59681
200404,336254,331116,157478,289003,97530
200405,234698,58565,235870,236338,288321
200406,183176,277492,235854,288435,289090
200407,272143,160417,160974,158536,158082
200408,331116,39894,289003,157478,277107
200409,156622,233717,160132,107151,158646
200410,336254,331116,289003,39894,277107
200411,277107,207975,235105,207758,158331
200412,199197,272143,136438,284547,135899
200413,234698,336221,156964,300082,95716
200414,271262,284583,236610,58580,284773
200415,289090,277491,234267,235616,337192
200416,352264,336221,353445,64409,234698
200417,234698,336221,157076,74569,300082
200418,64329,199198,198659,156560,156624
200419,236610,96210,336245,327124,327813
200420,336220,235854,289090,277492,337192
200421,331116,202355,202559,315146,199372
200422,336220,277491,235616,337192,234267
200423,307779,354086,336220,215674,292726
200424,286336,272143,282785,285343,162655
200425,293513,199474,288528,96241,97616
200426,158179,336254,157478,331116,235920
200427,336223,119193,225019,141004,161506
200428,336254,157478,331116,206785,218028
200429,58333,288435,277491,31053,95519
200430,285533,348093,348140,183176,336245
200431,336221,234698,300082,235870,95716
200432,156964,234698,64346,336221,58565
200433,183176,284339,129799,336220,354086
200434,48403,59057,119193,299871,288320
200435,156560,199198,198659,324823,175040
200436,331116,157478,336254,217812,362914
200437,161506,161801,141004,62567,270799
200438,234698,64409,235870,300082,235616
200439,272143,156624,158536,156447,162655
200440,352979,283009,39894,331116,30389
200441,277492,96215,97072,235854,337192
200442,50864,156624,272143,156560,348111
200443,293114,124749,96755,284985,233997
200444,199198,64329,198659,156560,156624
200445,336221,235870,156964,315105,214631
200446,331116,157478,57966,289003,218028
200447,272143,64329,198659,162655,166581
200448,271262,65991,58580,202416,313920
200449,205824,50644,70986,36162,205958
200450,331116,157478,97530,57966,289003
200451,272143,69736,66206,50823,156624
200452,352979,39894,30389,331116,283009
200453,289090,235616,235854,234267,337192
200454,74665,235105,277107,57523,158772
200455,272143,324823,156560,199198,64329
200456,234698,336221,300082,157076,214631
200457,336254,157478,331116,285849,97530
200458,177442,156807,283009,159019,50494
200459,315105,95716,300082,214631,288321
200460,234698,74569,157076,336221,300082
200461,272143,156624,158536,162655,160417
200462,96210,211723,20691,212050,157375
200463,288320,59057,133160,336223,233595
200464,277107,331116,352979,39894,336254
200465,111043,181585,119534,233688,128260
200466,272143,291680,289607,292000,289314
200467,272143,273090,272934,273394,271981
200468,336476,348111,156624,272143,284474
200469,96210,336245,57616,71161,348093
200470,225010,283764,236566,313920,284773
200471,284583,96210,58580,236610,313920
200472,336380,108856,156355,128551,338339
200473,352979,39894,30389,283009,331116
200474,277492,183176,354086,284339,128260
200475,277492,235854,336220,289090,337192
200476,161506,63307,235652,235525,191895
200477,233717,257291,160132,58606,111210
200478,352979,39894,283009,336254,30389
200479,124748,123757,157844,123290,123909
200480,58580,96210,313920,236566,277067
200481,272143,156624,348111,156560,182513
200482,272143,140324,122117,121637,273394
200483,156964,336221,235870,300082,214631
200484,209653,63307,87696,72645,87228
200485,336221,300082,315105,288321,95716
200486,272143,64329,198659,162655,182394
200487,164099,36162,235920,235105,234282
200488,156560,158536,160417,272143,348111
200489,289090,336220,235616,277491,336221
200490,225010,38625,271262,202476,58580
200491,58619,208970,205869,337143,209348
200492,64409,336221,234698,58565,235616
200493,50494,39894,73506,156807,283009
200494,183176,284339,181585,119534,129799
200495,42786,97566,157478,95668,63842
200496,39894,283009,331116,157478,315104
200497,234698,336221,95716,235870,214474
200498,289090,235616,277491,235854,234269
200499,234698,95716,235870,315105,300082
200500,16087,293513,336245,194289,119600
200501,271262,96210,283764,336245,277067
200502,272143,156624,158536,162655,160417
200503,331116,157478,57966,289003,218028
200504,336934,293513,168416,166129,158882
200505,289090,235616,277491,337192,277492
200506,96210,336245,283437,285377,236610
200507,293114,156355,284985,272218,301030
200508,336221,234698,95716,277491,336223
200509,336254,218028,202355,157478,158541
200510,272143,198659,64329,182394,162655
200511,218028,336254,202355,61594,157478
200512,96210,284583,20691,336245,194289
200513,234698,4789,95716,336223,235616
200514,272143,285648,156560,338350,64329
200515,162655,64329,156624,156560,272143
200516,293050,124350,293062,124176,96480
200517,20691,66672,337441,57616,237580
200518,331116,157478,97530,285849,57966
200519,336223,225019,42298,119193,48403
200520,214800,160132,276946,58606,42883
200521,355163,157375,355161,355168,355157
200522,199198,272143,64329,198659,175040
200523,254899,255667,255741,254856,254770
200524,289090,337192,234267,235854,277492
200525,336254,331116,157478,289003,202355
200526,293513,96210,270607,285675,336245
200527,272143,47999,48852,47696,48972
200528,289090,235616,235854,337192,160142
200529,331116,336254,157478,289003,218028
200530,272143,166583,166585,156560,224171
200531,331116,209236,214753,158541,215613
200532,70986,205824,70240,36162,207758
200533,64329,199198,198659,156560,156624
200534,161100,156622,158646,136465,285435
200535,257291,42693,42873,42437,42737
200536,272143,158536,156624,160417,162655
200537,168623,276970,156625,220345,233420
200538,277107,39894,283009,157478,237385
200539,208562,183176,233688,283505,202388
200540,59423,58235,95868,58019,58499
200541,289090,336220,235616,235854,234269
200542,331116,336254,289003,57966,97530
200543,289003,352979,42285,331116,42567
200544,336245,233742,9308,96210,50569
200545,236951,236444,124194,158915,123909
200546,20691,336245,337441,288440,32088
200547,162655,156560,272143,158536,64329
200548,256026,255007,352979,331116,289003
200549,272143,158536,162655,156447,160417
200550,285343,272143,284474,156624,156560
200551,336220,277491,234267,235854,337192
200552,277107,352979,283009,157478,336254
200553,57748,202652,70215,235443,159943
200554,168623,276970,237524,36394,95972
200555,352979,277107,283009,289003,157478
200556,276970,123909,293301,257291,286321
200557,272143,181940,162655,181967,156624
200558,235616,336221,352902,32082,235870
200559,36161,313431,271551,161602,156619
200560,336254,157478,177442,331116,285849
200561,156560,64329,199198,198659,162655
200562,234698,336221,235870,95716,315105
200563,331116,202355,215613,199372,214753
200564,30760,156279,16346,211442,50644
200565,234698,336221,235870,95716,234813
200566,272218,301030,338339,160940,214474
200567,64409,234698,336221,300082,235870
200568,293513,245161,162107,159943,50504
200569,156560,158536,272143,160417,156447
200570,59057,133160,30611,288320,214206
200571,331116,218028,209236,162378,336254
200572,96210,20691,96244,183176,277067
200573,336220,277491,235616,337192,234267
200574,336221,235616,336220,289090,234269
200575,336221,234698,234269,235616,161191
200576,234698,64409,235870,236338,300082
200577,199197,284547,206934,313431,70646
200578,272143,156560,64329,198659,162655
200579,96210,58580,225010,283764,277067
200580,289090,235616,336221,336220,277491
200581,64329,199198,198659,156560,156624
200582,59156,59423,57523,277107,336254
200583,50864,156624,272143,348111,156560
200584,336254,157478,362914,118286,118348
200585,277492,96106,354086,128260,289079
200586,124748,124350,123289,338340,123826
200587,208582,199474,237822,331116,208981
200588,283009,277107,336254,39894,331116
200589,331116,87213,87194,202355,218028
200590,271262,96210,285377,313920,336245
200591,331116,157478,289003,97530,283791
200592,336245,20691,271262,284583,58580
200593,194561,194406,195034,195243,187071
200594,124748,124194,123757,283392,123290
200595,70986,50644,36162,206415,107107
200596,202320,283009,30389,206785,336254
200597,336254,218028,289003,202355,157478
200598,289090,336220,277491,235616,235854
200599,123757,124177,123909,124194,123290
200600,294033,272143,76268,106015,199198
200601,36161,272143,199198,2303,64329
200602,64329,199198,198659,156560,156624
200603,119534,277492,215674,354086,288435
200604,277492,354086,289090,128260,284096
200605,64329,199198,198659,156560,324823
200606,277107,39894,352979,289003,331116
200607,225124,276970,124177,123909,175445
200608,207603,202355,289003,336254,331116
200609,354086,288435,348087,336220,289090
200610,272143,199198,324823,285343,166581
200611,272143,175040,199198,166581,160417
200612,156560,158536,160417,272143,348111
200613,39894,352979,30389,283009,331116
200614,293301,159762,257291,214800,160132
200615,336221,271261,315105,234698,336223
200616,331116,336254,289003,157478,207603
200617,331116,336254,157478,158541,289003
200618,273157,277492,336220,270685,289090
200619,161506,161801,270799,63307,31520
200620,199198,64329,198659,156560,156624
200621,272143,324823,199198,156560,348111
200622,123909,283392,123757,236951,124748
200623,96210,336245,271262,20691,236610
200624,272143,156560,199197,285298,299697
200625,156560,272143,156447,158536,162655
200626,235616,32082,336221,234698,352902
200627,203890,70999,233997,208380,205948
200628,336245,288440,337441,233742,57616
200629,158906,284985,272218,160938,313996
200630,96210,336245,288440,233742,57616
200631,20691,271262,285377,50504,284583
200632,348112,183176,348089,336245,233688
200633,183176,277492,288435,235854,128260
200634,32082,29953,336220,234269,59681
200635,337735,284985,158906,160938,313996
200636,20691,15653,336245,337441,96103
200637,183176,354086,277492,336220,128260
200638,331116,336254,289003,57966,218028
200639,211415,211722,336220,160531,235854
200640,162655,158536,64329,272143,156624
200641,50494,159019,73506,202320,277107
200642,195804,272143,194939,194925,191916
200643,183176,235854,277492,336220,119534
200644,336254,199372,218028,57966,206785
200645,293513,270607,16087,336245,284066
200646,156560,160417,272143,158536,156447
200647,50644,205824,36162,277107,156279
200648,199474,107302,206763,157774,62751
200649,208473,209200,235430,123289,158915
200650,277107,352979,39894,289003,336254
200651,111043,215993,128260,283505,336245
200652,272218,284985,338339,140528,160940
200653,331116,277107,283009,336254,289003
200654,124748,123757,123909,172576,157844
200655,272143,307856,162655,42422,61741
200656,277107,172406,174172,172868,158772
200657,336380,108856,128551,156355,338339
200658,183176,277492,128260,336220,307779
200659,236566,168681,225010,271262,58580
200660,352901,277491,237618,337192,336220
200661,156560,158536,272143,160417,156447
200662,39894,30389,283009,331116,336254
200663,336254,277107,36162,289003,218028
200664,95716,119193,48403,271261,31836
200665,96210,271262,20691,58580,336245
200666,352555,272143,261612,7694,121834
200667,168623,208145,208048,286321,108855
200668,289090,336220,277491,234267,337192
200669,157076,234698,336221,355159,159790
200670,162018,159192,161512,277107,159195
200671,336254,289003,157478,331116,285849
200672,73271,73413,62465,283009,277107
200673,124748,123290,124228,124352,123909
200674,331116,206785,157478,289003,57966
200675,119534,277492,215674,159938,336220
200676,149695,157798,157989,159009,160532
200677,160417,272143,160974,158536,158082
200678,194923,96210,336245,237580,57616
200679,233717,257291,276946,234997,236478
200680,272143,156624,156560,64329,182513
200681,162248,157478,336254,202355,207603
200682,352979,277107,283009,289003,177442
200683,183176,233688,283505,215993,119488
200684,284583,96210,57616,336245,20691
200685,284422,236951,236444,124194,159582
200686,123909,168623,276970,124194,96917
200687,348112,285533,348109,336245,233688
200688,331116,157478,289003,97530,57966
200689,96210,157375,336245,159197,161873
200690,234698,95716,315105,235870,336223
200691,39894,331116,277107,352979,159019
200692,320571,57475,336220,235616,284096
200693,50644,70986,36162,205824,234308
200694,183176,336220,354086,337192,235854
200695,119534,277492,336220,215674,289090
200696,57616,277067,271262,20691,96244
200697,336245,20691,337441,288440,32088
200698,289090,336220,277492,235616,235854
200699,272143,64329,198659,162655,182394
200700,156942,162351,49204,76431,157252
200701,277107,352979,30389,331116,157478
200702,272143,156560,129029,187065,235230
200703,331116,157478,57966,289003,97530
200704,331116,292508,199372,202355,293155
200705,183176,354086,277492,336220,128260
200706,59057,288320,31836,336223,133160
200707,331116,48918,48158,202355,48213
200708,336220,183176,277491,354086,235854
200709,129434,198199,348113,133160,83534
200710,156624,272143,348111,336476,156560
200711,156560,199198,198659,324823,175040
200712,42770,42960,156052,235616,42226
200713,95716,288325,315105,352983,271261
200714,20691,336245,271262,284773,284583
200715,283009,277107,336254,39894,331116
200716,336254,283009,39894,157478,331116
200717,331116,202355,218028,87213,158541
200718,50494,156807,73506,70429,218355
200719,272143,3241,5258,2303,2197
200720,336220,237618,284096,289090,234267
200721,331116,336254,157478,289003,218028
200722,272218,293114,124749,338339,96755
200723,293513,305019,50504,303216,303658
200724,331116,214753,211455,202355,161878
200725,271262,58580,313920,284583,236610
200726,156560,158536,272143,160417,156447
200727,336220,354086,277491,235854,289090
200728,156964,235870,336221,64409,214631
200729,363916,50494,218355,73506,70429
200730,198144,331738,157844,124177,288293
200731,272143,142241,142284,156624,145342
200732,162655,272143,156560,156447,64329
200733,336223,288320,59057,133160,233595
200734,354086,234267,337192,277491,237618
200735,288435,119534,336220,307779,128260
200736,182575,181274,181893,336245,183176
200737,218028,336254,202355,214753,57966
200738,39894,283009,352979,30389,331116
200739,331116,158541,157478,157441,202355
200740,233717,160132,285095,284452,286161
200741,50864,272143,156624,166430,156560
200742,234698,95716,315105,277491,300082
200743,156560,158536,272143,160417,156447
200744,156560,160417,272143,158536,182513
200745,348111,156624,272143,156560,199198
200746,156355,284985,160940,214474,272218
200747,156560,158536,160417,272143,162655
200748,298978,159275,157774,161580,199474
200749,119534,277492,288435,215674,128260
200750,36394,30329,123289,124194,124350
200751,236951,158915,283392,157844,236444
200752,353633,351364,157478,159943,352673
200753,220471,283009,289003,331116,30389
200754,331116,218028,57966,289003,206785
200755,162655,158536,64329,272143,156624
200756,336245,233742,236512,156381,159529
200757,183176,354086,277492,336220,128260
200758,293513,50504,285377,245161,158882
200759,272143,156560,96960,95743,156624
200760,272143,64329,199198,324823,166581
200761,202355,331116,336254,207603,157478
200762,272143,233728,156560,348111,234000
200763,96210,336245,285377,271262,284583
200764,234698,95716,235870,336223,352983
200765,199198,156560,324823,175040,198659
200766,331116,157478,289003,97530,57966
200767,331116,157478,57966,285849,97530
200768,354086,235854,289090,336220,277492
200769,352979,277107,283009,289003,336254
200770,331116,336254,289003,57966,166322
200771,50864,272143,156560,156624,166430
200772,59002,57605,58619,59382,57748
200773,96210,32088,336245,57616,284583
200774,337192,277492,336220,289090,277491
